learning_rate iterations train_mse test_mse runtime evals gens nodes_amnt
1e-06 1 27727.98706184383 28295.903616000003 20.061469793319702 90800 176 1
1e-06 1 27297.36563113507 21200.394375968153 20.083874464035034 24110 46 3
1e-06 1 27602.581770407032 27898.416716272724 20.01216769218445 90287 175 1
1e-06 1 26998.257071954773 34722.468199181814 20.079143047332764 90800 176 1
1e-06 1 26808.080344516577 24305.316892608065 20.07753348350525 21032 40 17
1e-06 1 26996.149560155776 33366.11373809091 20.02614736557007 90287 175 1
1e-06 1 5974.698588703738 5478.896878983014 20.75380516052246 14876 28 17
1e-06 1 26539.94827000967 28755.377201225212 20.063570976257324 30266 58 3
1e-06 1 7696.82079462591 6624.686930523447 20.195985078811646 21545 41 13
1e-06 1 27004.82417254736 23025.219032028417 20.00531315803528 36422 70 3
1e-06 2 26708.284977489635 27267.73370538948 20.24883198738098 30779 59 3
1e-06 2 7640.84169245129 4830.5130846889315 21.050551176071167 18980 36 19
1e-06 2 26805.08880644927 27091.194558265965 21.20705533027649 11285 21 17
1e-06 2 25040.473322172373 32467.692122634944 21.729130744934082 9746 18 23
1e-06 2 26686.897557513414 24188.959205386866 21.188578844070435 15902 30 17
1e-06 2 26962.50876622613 33327.23140281818 20.13028120994568 70280 136 1
1e-06 2 26947.29757157608 27129.10535737758 20.221212148666382 20006 38 3
1e-06 2 27370.6547199196 29585.095026909094 20.06489849090576 71306 138 1
1e-06 2 26833.706880976097 22545.090000646698 20.116395235061646 32318 62 3
1e-06 2 27993.872253266338 23935.9816 20.026252269744873 74897 145 1
1e-06 3 26072.299005378038 26626.36091620179 20.075742483139038 27701 53 3
1e-06 3 27283.488419222864 21190.132446074647 20.032022714614868 20519 39 9
1e-06 3 27610.820581301512 27906.773021000005 20.06947922706604 62585 121 1
1e-06 3 24384.746185040196 31713.046333718314 20.180772066116333 13850 26 7
1e-06 3 24572.693355527364 22171.300565624693 20.317062854766846 14363 27 21
1e-06 3 24717.983275398594 30722.862648866 20.771549224853516 11285 21 13
1e-06 3 26303.924559260588 26475.25918023796 20.244319200515747 23597 45 3
1e-06 3 27477.94499666332 29692.25900945454 20.126624822616577 56429 109 1
1e-06 3 28173.535885783924 23741.34398354546 20.012437105178833 58481 113 1
1e-06 3 26132.99339038435 22225.333501604102 20.6149320602417 14363 27 9
1e-06 4 26783.590202409352 27343.671282029743 20.298185110092163 22058 42 3
1e-06 4 26340.61755811545 20346.07247865527 20.883270740509033 10772 20 13
1e-06 4 24085.168450683093 24326.026552818832 21.578725814819336 11285 21 19
1e-06 4 25623.80953940998 33143.26994694523 21.999083280563354 12311 23 21
1e-06 4 20129.392098456923 17949.329451967547 20.755874395370483 8207 15 15
1e-06 4 26482.33836789437 32771.78354873487 20.454962491989136 21545 41 3
1e-06 4 25248.76020705078 25402.738541383507 21.091124534606934 11798 22 17
1e-06 4 27452.572287015075 29666.91613854545 20.080031394958496 52838 102 1
1e-06 4 28169.059390633167 23737.33988218182 20.128745794296265 52325 101 1
1e-06 4 26438.136283687265 22504.217732757643 20.239594221115112 23084 44 3
1e-06 5 26529.12418681761 27087.06385172987 21.020066261291504 11798 22 9
1e-06 5 18019.694582828004 13045.202628225377 21.42795968055725 12824 24 5
1e-06 5 6589.722362350357 6373.100281405193 20.416576862335205 9233 17 15
1e-06 5 24530.06915937083 31880.81065926653 21.8895742893219 11798 22 17
1e-06 5 27893.23516349749 25343.323991272726 20.063341856002808 48221 93 1
1e-06 5 25334.87001684656 31440.77642548495 20.392215490341187 21545 41 3
1e-06 5 9801.652694235332 9600.403840328054 21.693846702575684 12311 23 25
1e-06 5 26935.078816915557 29150.035092091315 20.14354705810547 21545 41 3
1e-06 5 24505.940220133332 20476.407165468485 20.955779552459717 10259 19 13
1e-06 5 16638.388528053176 13629.474377397717 21.844486236572266 10259 19 25
1e-06 6 27524.91178671284 28091.15800277777 20.127191066741943 45143 87 1
1e-06 6 6110.996823895705 4503.784025854121 20.81082057952881 8720 16 25
1e-06 6 25975.463696281666 26247.540964898813 20.82041597366333 12311 23 15
1e-06 6 14836.468739925363 20394.67104652346 20.893370628356934 11285 21 13
1e-06 6 20080.684808325754 17903.697383140876 21.114900588989258 12311 23 13
1e-06 6 24904.545209651733 30940.49153715065 20.099521160125732 10259 19 9
1e-06 6 16746.0008102754 16743.07958190934 21.295196294784546 11285 21 13
1e-06 6 25708.630878340555 27926.78109587386 20.240128993988037 8207 15 13
1e-06 6 28106.435708522615 23681.32971309091 20.177470684051514 44630 86 1
1e-06 6 21249.418683435095 17780.239600765417 21.068862438201904 11285 21 9
1e-06 7 27597.897728193955 28164.745169 20.119771242141724 41039 79 1
1e-06 7 6087.602233321747 4435.716355896384 20.381576776504517 9233 17 15
1e-06 7 27682.092786889447 27979.060708999998 20.21332836151123 41039 79 1
1e-06 7 26088.38654312429 33677.561659833875 20.172142028808594 13850 26 3
1e-06 7 21896.16714872838 19623.91175007881 21.418126821517944 9746 18 13
1e-06 7 26063.950683511324 32287.543848485722 20.985886096954346 9746 18 9
1e-06 7 24496.369509058713 24638.216555055584 20.594640731811523 8207 15 33
