learning_rate iterations train_mse test_mse runtime evals gens nodes_amnt
1e-06 1 5637.872320629193 5827.609357113089 20.04153847694397 6539 12 89
1e-06 1 5862.654041442217 4139.0321968616245 20.89700698852539 8147 15 73
1e-06 1 5855.51248923141 5518.886679172014 23.175180435180664 7595 14 81
1e-06 1 5742.873312286767 7214.855931552375 22.075634956359863 7614 14 51
1e-06 1 5947.232163851243 5308.8510703856455 21.330750703811646 6512 12 71
1e-06 1 5816.043039251123 5641.222272213456 20.919569730758667 10240 19 19
1e-06 1 5856.360855424798 5293.695867761145 20.462432384490967 8189 15 45
1e-06 1 5643.7740127532625 7887.219809841109 23.513559103012085 7063 13 71
1e-06 1 5850.3736658498665 6083.018580757573 22.36011552810669 7031 13 43
1e-06 1 5905.630312284806 5315.982776099143 20.709795475006104 7650 14 25
1e-06 2 5755.065370830898 5931.55229546955 21.177998542785645 6041 11 77
1e-06 2 6066.757945113982 4470.962842278217 22.595083951950073 7679 14 47
1e-06 2 5943.951320826139 5622.598327897248 20.003662824630737 6611 12 49
1e-06 2 5013.715905293315 6301.876350198243 23.834160327911377 7120 13 77
1e-06 2 5929.43613155647 5222.1902820598325 20.49437403678894 6641 12 71
1e-06 2 23834.86926467098 29692.294860726382 22.582270622253418 6051 11 83
1e-06 2 5381.054471489826 4511.168480220813 25.45929980278015 7555 14 71
1e-06 2 5663.948020889582 7904.933423624635 22.278322458267212 7653 14 43
1e-06 2 5818.11370749728 6026.46032403472 21.12847375869751 7160 13 39
1e-06 2 5908.783991797687 5295.795968055751 20.785304069519043 6611 12 41
1e-06 3 5752.979965973682 5951.631987081748 24.376025915145874 6612 12 41
1e-06 3 5980.8308462032 4382.458712743786 23.573131322860718 6645 12 43
1e-06 3 5908.638108779316 5584.917704432069 22.666773796081543 7161 13 45
1e-06 3 5697.248394412087 7124.499253769501 22.202617645263672 6635 12 63
1e-06 3 5815.323717493293 5249.6356640755 21.59518837928772 6656 12 53
1e-06 3 5794.046988604268 5571.44281313109 22.70608425140381 6653 12 47
1e-06 3 5926.255957375345 5426.180381531515 21.652942180633545 6637 12 35
1e-06 3 5500.794573763317 7590.843296062582 22.108795166015625 6655 12 31
1e-06 3 5685.141930046396 6028.868319314599 24.273792505264282 7141 13 45
1e-06 3 5317.737858619479 4780.771112973429 23.746730089187622 6641 12 41
1e-06 4 5761.7201756839995 5989.115460877366 24.720303773880005 6649 12 63
1e-06 4 6049.060206022956 4470.682617566992 21.250075340270996 6138 11 77
1e-06 4 5663.2065693624445 5481.929349294801 24.487574100494385 7159 13 95
1e-06 4 5717.784011411554 7191.761828116113 22.559561252593994 6656 12 53
1e-06 4 5946.335998163802 5301.477095796515 23.495506286621094 7159 13 27
1e-06 4 5856.7718019731 5972.147587147774 23.224236488342285 6128 11 59
1e-06 4 23818.00537366752 23947.876799177622 21.204031705856323 6139 11 71
1e-06 4 5651.162392183844 7869.9045062568675 21.54014229774475 7167 13 17
1e-06 4 5870.158432501373 6163.372463857817 23.62849259376526 6645 12 71
1e-06 4 5870.191858674142 5469.685826033008 22.1690194606781 6140 11 47
1e-06 5 22978.87834715409 23505.25339581436 23.63943576812744 6651 12 89
1e-06 5 6062.737426129102 4374.651459616944 21.088760137557983 5625 10 43
1e-06 5 5819.885072469988 5519.6942084990815 20.4868483543396 6144 11 39
1e-06 5 5721.407766830642 7201.447602568176 24.09939479827881 6139 11 33
1e-06 5 5921.542334505797 5252.273133025175 25.709819555282593 6655 12 53
1e-06 5 5844.543453738869 5820.501139847183 21.21725559234619 6144 11 31
1e-06 5 5917.934371653086 5411.320935035461 24.42696261405945 6139 11 47
1e-06 5 5667.556260829808 7927.927151123493 21.777554988861084 6141 11 37
1e-06 5 22654.461558596326 18846.20896693628 26.162003993988037 6122 11 75
1e-06 5 5983.4004618578265 5388.482184677728 22.51635503768921 6143 11 67
1e-06 6 5798.815863042911 5995.5561135763355 22.771580934524536 5629 10 29
1e-06 6 6017.403670606976 4300.934994846617 22.825874090194702 6656 12 29
1e-06 6 5717.74952953881 5437.657248714931 24.320719718933105 5616 10 73
1e-06 6 5695.776951633696 7203.54937505564 20.948334455490112 6143 11 33
1e-06 6 23732.2664096089 21369.080797691488 20.87450075149536 5627 10 67
1e-06 6 5879.099912302257 5732.405891074416 23.044309616088867 6144 11 77
1e-06 6 5010.098266708908 4536.101533074712 22.687910556793213 6144 11 55
1e-06 6 5655.549707656966 7931.156854564488 20.783461570739746 5631 10 49
1e-06 6 5655.354298568777 5802.1978198587685 22.57544708251953 5623 10 37
1e-06 6 5891.264454155531 5312.899898025009 21.513827800750732 6656 12 63
