learning_rate iterations train_mse test_mse runtime evals gens nodes_amnt
1e-06 1 27727.98706184383 28295.903616000003 20.097286701202393 90800 176 1
1e-06 1 27301.327261579652 21203.93664870222 20.02268099784851 23597 45 3
1e-06 1 25629.342658740694 25896.361962274343 20.533095359802246 16928 32 21
1e-06 1 25513.147484967645 33016.57785690412 21.10900044441223 12824 24 21
1e-06 1 10814.485718223894 9257.612300952396 21.279073476791382 17441 33 29
1e-06 1 26221.289468062434 32469.43976861058 20.211711168289185 38987 75 3
1e-06 1 25329.247326393728 25486.384869095058 20.47142481803894 13850 26 23
1e-06 1 25377.54615165793 27594.392160250383 20.80587339401245 12311 23 33
1e-06 1 28062.353907035176 23641.908863636367 20.066125869750977 87209 169 1
1e-06 1 25731.58336798157 21855.523641216456 20.18531894683838 15389 29 7
1e-06 1 24898.755707042346 25441.622406730417 21.012526512145996 14876 28 37
1e-06 1 27736.10167430275 21588.983915126297 21.038256883621216 12311 23 29
1e-06 1 21630.37565727836 21836.306778315757 20.74580717086792 12311 23 21
1e-06 1 24956.719784711884 32373.645849108754 20.260097980499268 20006 38 21
1e-06 1 27849.16101366332 25301.14429918182 20.09074306488037 85157 165 1
1e-06 1 21170.60295585893 26560.26538811283 20.69708800315857 19493 37 19
1e-06 1 25570.341401009922 25729.61620285903 20.011253118515015 16415 31 31
1e-06 1 25906.50005764145 28122.696172623477 20.449276208877563 18467 35 7
1e-06 1 17756.2109370737 14597.664130054407 20.8335223197937 14363 27 41
1e-06 1 28075.52879786432 24011.254225000004 20.09674859046936 88748 172 1
1e-06 1 15510.670603147822 15959.820406484185 21.10345959663391 14876 28 33
1e-06 1 28352.47714290428 22145.168133444444 20.005884885787964 88748 172 1
1e-06 1 26363.511736637673 26641.41412779123 20.221845626831055 38987 75 3
1e-06 1 23596.00918676408 30798.666926438 20.340345859527588 21032 40 13
1e-06 1 26168.232882617085 23691.464226670698 21.44421887397766 17954 34 25
1e-06 1 21557.455499322845 27018.807813520132 20.668033599853516 14363 27 17
1e-06 1 5990.703288036913 5510.328702508848 20.300127267837524 16415 31 15
1e-06 1 17239.669256510853 19467.73149201547 20.44788384437561 14363 27 37
1e-06 1 27340.22056209265 22996.806662148694 20.190359354019165 12824 24 37
1e-06 1 27993.278941487435 23935.43471672727 20.06842803955078 89261 173 1
1e-06 1 26643.89445512672 27202.364343872086 20.6204993724823 14876 28 11
1e-06 1 28309.23429437783 22106.395310666663 20.03639507293701 90800 176 1
1e-06 1 18096.52463421707 18236.947551168218 20.23574733734131 22571 43 17
1e-06 1 26904.855364824118 34615.33967272727 20.060058116912842 90287 175 1
1e-06 1 27173.891828937867 24655.143001699613 20.09566354751587 40526 78 3
1e-06 1 26038.134648729014 32257.153043967675 20.071436405181885 41039 79 3
1e-06 1 23775.47609365873 23904.155792684443 21.06994605064392 12311 23 19
1e-06 1 27407.46903336181 29621.86597009091 20.04629397392273 90287 175 1
1e-06 1 28102.263932381902 23677.598837818183 20.04887294769287 90287 175 1
1e-06 1 28085.040474326634 24020.023045363636 20.040441274642944 90800 176 1
1e-06 1 7803.413172650577 8116.668706427609 20.830787897109985 22571 43 21
1e-06 1 28226.742436365243 22032.442743222226 20.040748596191406 91313 177 1
1e-06 1 24910.260155200078 25166.421270084127 20.13974905014038 18980 36 17
1e-06 1 24792.19969811653 32184.500934656582 20.200023412704468 10772 20 35
1e-06 1 27358.290195054182 24831.50332027244 20.05674648284912 42578 82 3
1e-06 1 9646.315371425928 12207.508479481477 20.492475748062134 20519 39 11
1e-06 1 26487.168748186592 26661.45297136443 20.28932762145996 30266 58 3
1e-06 1 15364.28304644943 17597.833158722104 20.886282682418823 13850 26 23
1e-06 1 27156.027018869267 22832.460382212113 20.07979106903076 40526 78 3
1e-06 1 20298.031648630167 16906.08071791029 20.76233196258545 16928 32 25
1e-06 1 17030.28793461117 17494.018586666272 20.18945074081421 13850 26 31
1e-06 1 8397.525688344429 5315.931667600158 20.032100200653076 11285 21 25
1e-06 1 20220.50716463881 20404.368098881976 20.29335641860962 16928 32 19
1e-06 1 26344.028781346635 33971.444774763644 20.139424800872803 37961 73 3
1e-06 1 27122.86310064639 24606.34482582593 20.220665454864502 40013 77 3
1e-06 1 25461.284574433244 31586.56579133947 20.88373303413391 15389 29 31
1e-06 1 21704.048984237157 21796.171250243162 21.452484130859375 15902 30 25
1e-06 1 9875.055232086519 12117.486223613145 20.70207405090332 14876 28 25
1e-06 1 26780.865207347582 22496.164331543598 20.756662368774414 14363 27 17
1e-06 1 28171.33342226633 24099.583859909093 20.02163338661194 90800 176 1
1e-06 3 5872.161919716458 6071.18456864364 20.522363424301147 11285 21 31
1e-06 3 10732.41422644523 7021.643809458484 20.221390962600708 14876 28 9
1e-06 3 26453.628861771438 26733.53195467385 20.61834740638733 12824 24 21
1e-06 3 26977.289228336685 34698.42144281818 20.056763172149658 65150 126 1
1e-06 3 26614.717204153276 24120.559533402313 20.02800965309143 27701 53 3
1e-06 3 22820.3036963417 28503.963880978514 21.058286428451538 15902 30 25
